batch,timestamp,atlases,templates,top_n,subject,label,k,se,sn,j,volume
batch_1,2013-12-27.03-00-58-node17_04,7,1,0,04,2,0.8815789474,0.8751306165,0.9999406078,0.7882352941,3772
batch_1,2013-12-27.03-00-58-node17_04,7,3,0,04,1,0.8145714286,0.7977056519,0.9999190775,0.687153531,3426
batch_1,2013-12-27.03-00-58-node17_04,7,3,0,04,2,0.9007289596,0.8876698015,0.999955104,0.819387509,3717
batch_1,2013-12-27.03-00-58-node17_04,7,5,0,04,1,0.8198614319,0.7946278679,0.9999276623,0.6947162427,3354
batch_1,2013-12-27.03-00-58-node17_04,7,5,0,04,2,0.9040437742,0.8847962382,0.9999608743,0.8248904043,3665
batch_1,2013-12-27.03-00-58-node17_04,7,7,0,04,1,0.8109117014,0.7901510912,0.9999202034,0.681960879,3391
batch_1,2013-12-27.03-00-58-node17_04,7,7,0,04,2,0.9083144268,0.8889759666,0.9999631262,0.8320293399,3665
batch_1,2013-12-27.03-00-58-node17_04,7,9,0,04,1,0.8048324464,0.782876329,0.9999182331,0.6734055355,3379
batch_1,2013-12-27.03-00-58-node17_04,7,9,0,04,2,0.9067627051,0.8879310345,0.9999620002,0.8294289898,3669
batch_1,2013-12-27.03-00-58-node17_04,9,11,0,04,1,0.8062437348,0.7876329043,0.9999164035,0.6753838772,3409
batch_1,2013-12-27.03-00-58-node17_04,9,11,0,04,2,0.9051134076,0.8808777429,0.9999646743,0.8266732042,3623
batch_1,2013-12-27.03-00-58-node17_04,9,13,0,04,1,0.8048675734,0.7865137101,0.9999155591,0.6734547197,3411
batch_1,2013-12-27.03-00-58-node17_04,9,13,0,04,2,0.9060402685,0.881661442,0.9999652373,0.8282208589,3622
batch_1,2013-12-27.03-00-58-node17_04,9,15,0,04,1,0.8101193043,0.7884722999,0.9999204848,0.6808407828,3383
batch_1,2013-12-27.03-00-58-node17_04,9,15,0,04,2,0.9055944056,0.8795715778,0.9999660817,0.8274760383,3608
batch_1,2013-12-27.03-00-58-node17_04,9,17,0,04,1,0.8106628242,0.7870733072,0.9999221737,0.6816089169,3366
batch_1,2013-12-27.03-00-58-node17_04,9,17,0,04,2,0.9067921991,0.8806165099,0.9999667854,0.8294783465,3607
batch_1,2013-12-27.03-00-58-node17_04,9,19,0,04,1,0.8115606936,0.7856743145,0.9999242847,0.6828793774,3346
batch_1,2013-12-27.03-00-58-node17_04,9,19,0,04,2,0.9062752491,0.8790491118,0.9999672076,0.828613642,3598
batch_1,2013-12-27.03-00-58-node17_04,9,1,0,04,1,0.7525661804,0.7795187465,0.9998530729,0.6032914682,3830
batch_1,2013-12-27.03-00-58-node17_04,9,1,0,04,2,0.8882674124,0.8712121212,0.999951304,0.798993771,3681
batch_1,2013-12-27.03-00-58-node17_04,9,3,0,04,1,0.8156728157,0.7979854505,0.9999202034,0.6887225308,3419
