hemisphere,kappa,se,sn,jaccard,subject,num_atlases
1,0.8918918919,0.927972373,0.9999127385,0.8048780488,59,9
101,0.8634799235,0.9029592109,0.999900498,0.7597577389,59,9
1,0.9101201479,0.8999314599,0.9999521448,0.8350646597,64,9
101,0.9037676986,0.8911500237,0.9999518643,0.8244308231,64,9
1,0.8719020603,0.894242548,0.9998917548,0.772895712,67,9
101,0.912201799,0.9150647313,0.9999345443,0.8385763077,67,9
1,0.8838356752,0.9186176143,0.9998989395,0.7918508553,70,9
101,0.9039621016,0.9337188612,0.9999163927,0.8247544204,70,9
1,0.861607701,0.9101954569,0.9998920532,0.7568636064,77,9
101,0.8522241769,0.8683738796,0.9999068292,0.7425005474,77,9
1,0.8972337298,0.9202302632,0.9999327281,0.8136209404,79,9
101,0.9138724523,0.90565546,0.9999587632,0.8414043584,79,9
1,0.8654341737,0.9078514339,0.9998861346,0.7627888604,09,10
101,0.8507664563,0.9091785112,0.9998667133,0.7402903099,09,10
1,0.835838319,0.8980871747,0.9998874183,0.7179744297,03,10
101,0.8503115491,0.9019366738,0.9998995199,0.7396017141,03,10
1,0.9145626116,0.9397274633,0.9999380746,0.842575188,11,10
101,0.9200316706,0.9345844504,0.9999490529,0.8519061584,11,10
1,0,0,0.9996254476,0,76,9
101,0,0,0.9996192004,0,76,9
1,0.8996143508,0.9477961093,0.9999089383,0.8175446049,13,10
101,0.914793895,0.965010142,0.9999196362,0.8429678848,13,10
1,0.8708363288,0.8963986186,0.9999073902,0.7712224109,14,10
101,0.8820949756,0.9185803758,0.9999114746,0.7890607487,14,10
1,0.9153688277,0.9482241121,0.9999304729,0.8439447907,15,10
101,0.9190333832,0.9490609725,0.9999363851,0.8501958977,15,10
1,0.8710107748,0.9278530826,0.9998695205,0.7714960916,22,10
101,0.8696108256,0.8915895892,0.9998959812,0.7693021529,22,10
1,0.9085939208,0.9564917127,0.9999089347,0.8324984973,23,10
101,0.9174210643,0.9642608494,0.9999163949,0.8474403426,23,10
1,0.8460014855,0.8775038521,0.9998920515,0.733104484,28,10
101,0.8573706995,0.9254795868,0.9998664334,0.7503489531,28,10
1,0.909968254,0.9572535399,0.9999227348,0.8348089469,31,10
101,0.8896560882,0.9590609791,0.9999031756,0.8012437216,31,10
1,0.8429423459,0.8998751561,0.9998674198,0.7285223368,40,10
101,0.8653416441,0.8907990315,0.9999023224,0.7626451078,40,10
1,0.9053661116,0.9380991509,0.9999310392,0.8270949046,46,10
101,0.8842638166,0.9288035451,0.9999180945,0.7925384421,46,10
1,0.9271462775,0.9394639556,0.9999469373,0.8641870351,57,10
101,0.9196642686,0.931051226,0.9999456722,0.8512763596,57,10
1,0.890807393,0.9534096825,0.9998988079,0.8031133523,59,10
101,0.8718285789,0.9439225733,0.9998905093,0.7727802377,59,10
1,0.9044348737,0.900974026,0.9999445447,0.8255418615,64,10
101,0.9124480313,0.9167076167,0.9999469393,0.8389925793,64,10
1,0.8967844383,0.9169880252,0.9999111794,0.8128823318,67,10
101,0.8735001017,0.9130527211,0.9998824677,0.775410724,67,10
1,0.8925314807,0.9398719707,0.9998976743,0.8059204078,70,10
101,0.9004149378,0.9443426477,0.9999058379,0.8188679245,70,10
1,0.8350687749,0.9108244532,0.9998641911,0.7168395498,77,10
101,0.7855952839,0.8173333333,0.9998609506,0.6468974251,77,10
1,0.9018230925,0.9352941176,0.9999301956,0.8212001968,79,10
101,0.9241808828,0.9433388612,0.9999500388,0.8590485779,79,10
1,0.8049327354,0.8271889401,0.9998885396,0.6735459662,03,11
101,0.8219139695,0.8406420178,0.9998993758,0.6976688868,03,11
1,0.8896843475,0.9017150396,0.9999197702,0.8012895662,09,11
101,0.8923839276,0.9079351162,0.9999185032,0.8056798288,09,11
1,0.9148544047,0.9051787017,0.9999573541,0.8430706522,11,11
101,0.9217877095,0.9011916584,0.9999693179,0.8549222798,11,11
1,0,0,0.9996254527,0,76,10
101,0,0,0.9996192073,0,76,10
1,0.9009112931,0.935777618,0.9999168187,0.8196893367,13,11
101,0.9272641952,0.9529780564,0.9999401829,0.864391951,13,11
1,0.8895996209,0.9048192771,0.9999244193,0.8011521229,14,11
101,0.8860979856,0.9152324685,0.9999175257,0.7954900647,14,11
1,0.9151422165,0.9257402101,0.9999425752,0.8435596171,15,11
101,0.9237339841,0.9336457819,0.999949895,0.858276644,15,11
1,0.8758697187,0.9150863885,0.9998834524,0.7791532113,22,11
